Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
SuperSmashBros.,N64,1999,Fighting,Nintendo,12.29,2.5,8.21,0.17,23.13,92,,
TonyHawk'sProSkater,PS,1999,Sports,Activision,14.25,5.75,0.08,0.83,20.92,92,9.2,T
StreetFighterII:TheWorldWarrior,SNES,1992,Fighting,Capcom,7.97,2.68,9.26,0.39,20.32,92,,
MicrosoftFlightSimulator,PC,1996,Simulation,Microsoft Game Studios,11.93,6.26,0,0.74,18.96,92,,
DonkeyKongCountry2:Diddy'sKongQuest,SNES,1995,Platform,Nintendo,7.5,2.64,7.86,0.39,18.39,92,,
FireEmblem:Awakening,3DS,2012,Role-Playing,Nintendo,8.18,4.09,4.91,1.18,18.27,92,9.1,T
RockBand,X360,2007,Misc,Electronic Arts,12.06,2.06,0,1.31,15.44,92,8.2,T
RockBand2,X360,2008,Misc,Electronic Arts,11.87,1.6,0,1.2,14.67,92,8.3,T
Banjo-Kazooie,N64,1998,Platform,Nintendo,7.48,4.52,2.2,0.4,14.6,92,,
GuitarHeroII,X360,2007,Misc,Activision,12.56,0.13,0,1.06,13.75,92,8.1,T
StreetFighterIITurbo,SNES,1992,Fighting,Capcom,4.58,1.65,6.77,0.23,13.23,92,,
DevilMayCry3:Dante'sAwakeningSpecialEdition,PS2,2006,Action,Capcom,6.24,4.82,0.29,1.65,13,92,,
SyphonFilter,PS,1999,Shooter,Sony Computer Entertainment,8.46,3,0.08,0.46,12,92,,
PrinceofPersia:TheSandsofTime,PS2,2003,Action,Ubisoft,4.4,5.15,0,1.55,11.1,92,8.8,T
TheICO&ShadowoftheColossusCollection,PS3,2011,Adventure,Sony Computer Entertainment,5.58,2.83,1.08,1.42,10.92,92,,
WaveRace64,N64,1996,Racing,Nintendo,7.33,2.15,1.26,0.15,10.89,92,,
MedalofHonor,PS,1998,Shooter,Electronic Arts,5.76,4.36,0,0.56,10.68,92,8.6,T
SoulCaliburII,PS2,2003,Fighting,Namco Bandai Games,5.3,3.1,0.65,1.25,10.3,92,8.8,T
RockBand,PS3,2007,Misc,Electronic Arts,6.19,2.56,0,1.38,10.13,92,8.4,T
ChronoTrigger,DS,2008,Role-Playing,Square Enix,4.07,1.07,3.27,0.53,8.93,92,8.9,E10+
F-Zero,SNES,1990,Racing,Nintendo,4.15,1.55,2.7,0.21,8.64,92,,
ESPNNFL2K5,XB,2004,Sports,Sega,8.11,0.11,0,0.37,8.58,92,9.1,E
GodofWarIII,PS4,2015,Action,Sony Computer Entertainment,3,3.63,0.13,1.25,8.13,92,,
MetroidFusion,GBA,2002,Action,Nintendo,5.62,1.29,0.81,0.29,8,92,9.1,E
SSXTricky,PS2,2001,Sports,Electronic Arts,3.86,3,0,1,7.86,92,8.9,E
CallofDuty4:ModernWarfare,PC,2007,Shooter,Activision,0,7,0,0.19,7.19,92,8.5,M
PaRappaTheRapper,PS,1996,Misc,Sony Computer Entertainment,0.96,0.59,5.41,0.11,7.11,92,7.4,K-A
XenobladeChronicles,Wii,2010,Role-Playing,Nintendo,3.31,1.92,1.23,0.54,7,92,8.9,T
MetroidPrime2:Echoes,GC,2004,Shooter,Nintendo,4.58,1.84,0.37,0.21,7,92,8.8,T
TheWalkingDead:SeasonOne,PS3,2012,Adventure,Avanquest Software,3.64,2.09,0.27,0.91,6.91,92,,
SimCity2000,PC,1992,Simulation,Maxis,3.87,2.71,0,0.32,6.9,92,,
RockBand2,Wii,2008,Misc,MTV Games,6.2,0.07,0,0.53,6.8,92,7.7,T
StarWars:DarkForces,PC,1994,Shooter,LucasArts,3.76,2.66,0,0.31,6.72,92,,
RaymanLegends,WiiU,2013,Platform,Ubisoft,2.5,3.3,0.3,0.5,6.6,92,8.7,E10+
ForzaMotorsport,XB,2005,Racing,Microsoft Game Studios,2.89,2.83,0,0.11,5.83,92,7.6,E
NHL2002,PS2,2001,Sports,Electronic Arts,2.68,2.09,0,0.68,5.45,92,8.5,E
MaddenNFL2004,XB,2003,Sports,Electronic Arts,5.1,0.1,0,0.25,5.45,92,8.3,E
TheWalkingDead:SeasonOne,PS4,2014,Adventure,Telltale Games,1.33,2.78,0.22,0.78,5.11,92,,
SoulCaliburII,XB,2003,Fighting,Namco Bandai Games,3.9,0.9,0.15,0,5,92,8.9,T
PrinceofPersia:TheSandsofTime,XB,2003,Action,Ubisoft,2.85,1.65,0,0.2,4.7,92,7.8,T
RaymanOrigins,Wii,2011,Platform,Ubisoft,1.75,2.25,0,0.5,4.58,92,8.3,E10+
DeadorAlive2,PS2,2000,Fighting,Tecmo Koei,1.3,1.04,1.65,0.35,4.35,92,,
NHL99,PS,1997,Sports,Electronic Arts,2.27,1.54,0,0.27,4.12,92,,
RockBand2,PS2,2008,Misc,MTV Games,1.93,1.53,0,0.53,3.93,92,8,T
VagrantStory,PS,2000,Role-Playing,Crave Entertainment,1.3,0.87,1.3,0.26,3.78,92,8.3,T
MaddenNFL2003,XB,2002,Sports,Electronic Arts,3.19,0.1,0,0.14,3.38,92,8.3,E
AdvanceWars,GBA,2001,Strategy,Nintendo,2.27,0.86,0,0.05,3.18,92,9,E
Diablo,PS,1997,Role-Playing,Electronic Arts,1.12,0.73,0.27,0.15,2.23,92,,
